title,issn,cn,sponsor,compound_if,comprehensive_if,tags,categories,major_categories,detail_url
"安徽大学学报(哲社版)","1001-5019","34-1040/C","安徽大学","3.208","1.521","网络首发","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOUswIAUS3NQ0mfFwoUlv4vhIgB3F0V-jUb_NzQEHHOwe0OiZPxj-KVEeVy8cf04Rdi5onO3Iz2GMV6MMGhMX1PZ2DoSzRCgZCNicF2VsV5-A==&uniplatform=NZKPT&language=CHS"
"安徽大学学报(自然科学版)","1000-2162","34-1063/N","安徽大学","1.143","0.655","网络首发","基础科学综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP8IyD5kc1d9UAqeEz-WRZPQ6TlXseAOijL3F7tPcU7K3G2rmIh-rmxsYILrOmMZkgcv3MZsnAdkiOn7TAY3wMKcFf2Qr8kV-dvKOT0jzFWuw==&uniplatform=NZKPT&language=CHS"
"安徽地质","1005-6157","34-1111/P","安徽省地质学会","0.389","0.364","","地质学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINqVsU8YjCl2Mndibrdtq78dkti_jlTv_7PDV0-SWbyCWv9hd2KnJkY3S4i83PhaL9xv571H7T1JHNzAtUvEg5gAl_x-VTxilLixW9wJwVY7Q==&uniplatform=NZKPT&language=CHS"
"安徽电气工程职业技术学院学报","1672-9706","34-1279/Z","安徽电气工程职业技术学院","0.345","0.230","网络首发","综合科技b类综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPx9TP_ngs-q4rB6ds15zO4AhBSK2bUxX1PQRy7x2OaGFQoMt1lKigGc83zmK6wMqG0aXLDo981vcYki3t-PpJ17mUfp5KqChYwQxI6nxQHhA==&uniplatform=NZKPT&language=CHS"
"安徽电子信息职业技术学院学报","1671-802X","34-1212/Z","安徽电子信息职业技术学院","0.332","0.157","网络首发","教育综合|电子信息科学综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOcbTZ6BCpIC8VnunPLFYJ0k1VyGq3EZKlqeWYBAMxzcg7JvORGriNGMz6K3G_xIi2Yr5n1Hpp8bTtrUX2fy5UfHKy8ouzZb3FyhYRdBHleTA==&uniplatform=NZKPT&language=CHS"
"安徽非遗研究","","","安徽省非物质文化遗产保护中心","","","","文化","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINovTsUzquCft_GxY6u8aXi-5pRZSE8-aqS7BmJRfEklWzmpcsHsXgr3ZDj67pnnzGWOGh3rmLLXR_MlUdaVb2TEvPePa-LV7CdUmP76lHYcA==&uniplatform=NZKPT&language=CHS"
"安徽工程大学学报","2095-0977","34-1318/N","安徽工程大学","0.593","0.324","网络首发","综合科技b类综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINEXR0FjBWDkq9Z1RTYKa5pzqIU3tipemACSlrj7plnOTs9jNM1L03DyM_tntM2BYOGonmY0yaG8MOen7bWYF2-OochvlGyvlZRimHC-K8SHw==&uniplatform=NZKPT&language=CHS"
"安徽工学院学报","1000-2189","34-1084/T","安徽工学院","","","","综合科技b类综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOgDMWNEQDn8F2qR39Vs6D20jdVrSO_ttAEhkGGcEXvpWoCe4Cbw5mRhnuCQXNB_c5zUVITdceKtfLP6kdbF0NQXupwYiPvnIb5nrA3B4iRmw==&uniplatform=NZKPT&language=CHS"
"安徽工业大学学报(社会科学版)","1671-9247","34-1215/C","安徽工业大学","0.263","0.170","网络首发","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMwGoDfjsPkK3EfBY5iBm9CchTS3ML_QogSKB1NbxlzzvKGQQogMLzMLcsq_oX6jkkrHgkjB2MVVpVyyLUsBmGirSeE791MJBro4UB2wCrzBA==&uniplatform=NZKPT&language=CHS"
"安徽工业大学学报(自然科学版)","1671-7872","34-1254/N","安徽工业大学","1.240","0.656","网络首发|增强出版","综合科技a类综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINgLvG70tBzUU1Xv7GyWIdH-Mzb9pMXpOhocLVcsUFF17FomCLWvX_cJzQSx_WyM0mE1djPLEi1RK9bMBMqkMXviVGNvJQpIsoeB2eD0yceMQ==&uniplatform=NZKPT&language=CHS"
"安徽化工","1008-553X","34-1114/TQ","安徽省化工研究院","0.514","0.332","网络首发","有机化工","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPCiwh5mf0p5cLu0gKslRlJGn5gtnU1oY5uT2zqektfUOtimhNMtQ6ybcctIEYrKjNWX4A6Fs9YbSnecaX2NDXVdHWtQMNQdfjJUIwdcJCNYA==&uniplatform=NZKPT&language=CHS"
"安徽建筑","1007-7359","34-1124/TU","安徽省建筑科学研究设计院","0.283","0.169","","建筑科学与工程","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOPXq0zLhvCsCgqjmreEymo7CRCqohQgDP0DGSzTE9PF83HqSEUyYnnqGr1B6lwbthWMM7NKnZjxUmn4r6vrasHkBPFRMExrwgRIx9WCAtxng==&uniplatform=NZKPT&language=CHS"
"安徽建筑大学学报","2095-8382","34-1325/TU","安徽建筑大学","0.737","0.331","","建筑科学与工程","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMhiAS1Zta1k0FKuthzTLY57du9yEnd9L92bT9GJWkFigeBLAeILIhos9Q2yffjShrYDL5HjaBSoee49xbw9jHgFW-bFCCCDXu3sUpevHcmCA==&uniplatform=NZKPT&language=CHS"
