title,issn,cn,sponsor,compound_if,comprehensive_if,tags,major_categories,detail_url
"安徽教育学院学报(自然科学版)","1001-5116","34-1046/C","","","","","基础科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPw7Y9N6RY_yh3qxGmv0mQHQOVuWYYbHjmj0oslEfESXeXoYRZnB_0xMA5JbS1PaFtyZ7F7zUYyHsRl1_sM6F7si8G7rzqB7n0jZFdELwHdYA==&uniplatform=NZKPT&language=CHS"
"安徽警官职业学院学报","","","","0.301","0.120","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINH-YTzKQ6-Fmi5zMQVV5Upr1Hq8TP3u-GyllpEEYlVAABysTL9Ob320BXoZVUu8vgu3PUURnEMhKQcuTuoTfRdt9YCZzQRlyxwpzDtACEe8g==&uniplatform=NZKPT&language=CHS"
"安徽开放大学学报","","","","0.650","0.358","网络首发","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMtdkY1B_z7vYHTFnKAWIwH03blEGp3Ou-9jGVvM7YLEUkdUEN58YF_-toFBWlBk2D6_D2ItVkJKO1qFleFChDw_3N9OYheeR4LxZQBB1CzPw==&uniplatform=NZKPT&language=CHS"
"安徽科技","","","","0.217","0.150","","基础科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINB6P8Trod2HqNNav9dh47g60iFTS8qbgD8xIUj-7SzJExzwXoJE91OUEL7T0E3NwbT6V9FP_gh9BOjtCqTUTaKKa0dgXJL-TijbdjDm6Yy7w==&uniplatform=NZKPT&language=CHS"
"安徽科技学院学报","","","","1.254","1.041","网络首发","农业科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN378At-ZYmRFrTOu8gFgJ7OJVHP0UAeDDtfPzfU6QK6CNXKqzWjChU5I5EKd9mCmWbwjsAyQH9T1I8hPI24PzNoUiEBGw19FTi4qDoUX9IDA==&uniplatform=NZKPT&language=CHS"
"安徽理工大学学报(社会科学版)","","","","0.487","0.243","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPRNbUCdUo6TeMyEyyjs7RxIDmyG9ZGlznz_AA7UD_W_8dTtIsTtgQVZhiRMsw6sUR2azcIncE9nOqUtPTqIqWGd1gNywc55hPfvcqhKUzmIg==&uniplatform=NZKPT&language=CHS"
"安徽理工大学学报(自然科学版)","","","","0.634","0.395","网络首发","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMscq-VwzTu2WTE6MJdqy6DPctafzP60IaS1Hvl-4_f6RGKzQ32mzpP5K376uFh7bCLtnb3WJwMcSnU_rksosgYmqgn5obkC3-oUsPsliTBJw==&uniplatform=NZKPT&language=CHS"
"安徽林业科技","","","","0.574","0.406","网络首发","农业科技|经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINGjaHdUAY4f2fBqVck5zrzXLCD9iDAY0HduPNKubLtxrua9ICeYsuxt8Cn812v_e8Zj80lxNgQ7hvI72hzPZL7e94_eBOJCrz9CA1rwBFUuw==&uniplatform=NZKPT&language=CHS"
"安徽农学通报","","","","0.496","0.324","","农业科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOnyDE-Fv5ZXPVufnUyzslpV6-0h24DknYw7GuNSOJAecI8JHkGsD5UhajJ1TBoAmhVIHeJOb-llAJ4LRGbVY281HuLNMIr9DiGeHLGAAmieg==&uniplatform=NZKPT&language=CHS"
"安徽农学通报(下半月刊)","1007-7731","34-1148/S","","","","","农业科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP4tHF9j5tdAAC200jMLKHoAWzk26WkAMOO_seAi86GLaw8L76CznZ6BuCXRwJXfnTDSqe7gg-LSrMNIUyt98G-GU7GOnz7lbsT_ShGWGPqkg==&uniplatform=NZKPT&language=CHS"
"安徽农业大学学报","","","","1.720","1.037","网络首发","农业科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO3XnJQ3UWdYjbO9do0TMJjw3V2qle2sPIjszx9v9UvRTDl5f7hb4BWvPFiJHULEW3p28V-wJrYNG2q0OZZ44NWIpxcTc7WSZEI3RTaOTppuA==&uniplatform=NZKPT&language=CHS"
"安徽农业大学学报(社会科学版)","","","","0.815","0.356","网络首发","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINdIJDLiLq0OBDqoL-aFoLtOOsGWtDpSdL_DhYNNPrvQxJh_8-GvdOgW3gn8Jf8GHxKmQw4Xkb73xv54kds3Ra4rITWBg_IqxIAdVMonzhSGQ==&uniplatform=NZKPT&language=CHS"
"安徽农业科学","","","","0.897","0.520","网络首发","农业科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMBRDGnjKVP2A61e5EIzsyxnoeml7AqDGj-O2w1x_ujLJsOyKRbEyAUnoDuXiIKNvpuz2Egf1MTZ1tiAHtLBPWeeukMdBYag6dXzwWdcDVTlA==&uniplatform=NZKPT&language=CHS"
"安徽商贸职业技术学院学报","1671-9255","34-1242/Z","","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMk_DCUz9pWdo20yutsAZy0loOioW8gIbvgT_nznESuPBDbztvoCagJVlFkIJChSLI7olI675PBNMSbP7X1YSf5Mbuu1O_y2QEZ5ogY3gCmEw==&uniplatform=NZKPT&language=CHS"
"安徽省人民政府公报","1009-0746","34-1256/D","","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOWV4p-jYdUtaZzUbe7IUQGIOmsT2sPIhshIgKf3H_sWAwGXBE5cjk34tbC7lZ30muV4rxYOTOpTmbGqTWxIqB14xuFN6fI4ahRTve89NPL7g==&uniplatform=NZKPT&language=CHS"
"安徽师范大学学报(社会科学版)","","","","2.121","0.978","网络首发","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHYWpdCo78IK3oU0cUT0-ykI_BqczZtzEhB4YViVhTh6htvnpvpYCtJb69KQm67hd_R4K9t2Q2HxZvNnuIoCIywONb_Tux7QqmaTsiu1btDg==&uniplatform=NZKPT&language=CHS"
"安徽师范大学学报(自然科学版)","","","","0.698","0.296","网络首发","基础科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOHG2C6VE-P14Ars7mh5haLwWA1PjeygstBeRzEKo3Xa17X_POXFKkZ0rSylv0YtzyPy2BeuShYSoYhGmSE0j_a4S4-6OznzKF6-jhHW6PZ_A==&uniplatform=NZKPT&language=CHS"
"安徽史学","","","","0.734","0.472","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO1U-4TuD47q1MZfSDLRfPeuE7b-eo-kw_Mg4TuD0EqOIdS-aScXCwxcHrDjMydNeB5MMnyiaKxQ5SCRCDGijgaA--uw9IXhQ-nQlAvryFaDA==&uniplatform=NZKPT&language=CHS"
"安徽水利水电职业技术学院学报","","","","0.276","0.199","","工程科技II|社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN6QJiBGZKdfN-j5ClB8p9Hmvoo0IDk_0cDydE5fgBgTJHMrsnhIDRhuCjTCWN-HFriZ_AzJYwpazlV6a0GUOspTii7o3re3a8sNxDg7kGY4g==&uniplatform=NZKPT&language=CHS"
"安徽税务","1005-6181","34-1131/F","","","","","经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP-kJW0Q2TT4WpJDDLwWSxiRya1NbL2pAHzVmwLQyIDuy5_fnIt79ixvSAvEPd3fXPcgeZ-htKoIuV5ZAp2flDxW-Q3BxpPq-t-LQN05ylY4w==&uniplatform=NZKPT&language=CHS"
"安徽体育科技","","","","0.527","0.149","","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPHR1CTPBUtCKSmtlmTu6DsuwjcgNmqcTC1boAT4AiW2TyOKXUDTxUANUZGoZpRQtrjo8HNX8_aoYIn4XEelGgZQWVVCzPNhgWVYzcS_O3vIw==&uniplatform=NZKPT&language=CHS"
"安徽文博","","","安徽博物院;安徽省博物馆协会","","","","信息科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPCn5mBl2fCqmD5q0av2Hk7DXXxB1K7reF5oZ5slGe_IFIPo86h6NrN0Y9rU0Q8bnHa2QSoZBs7aZ-miY9tu24DM0O5UlcamUbLnlLI6vC94g==&uniplatform=NZKPT&language=CHS"
"安徽文学(下半月)","1671-0703","34-1169/I","","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM0Ew5ZNdZBpiw78rl9Z-7kCsbmEuJTk4ju7QT2XF84iop1Fpvb-vcV2yjQ46A8FSOGbVkJLUsH667t-iJ08dn-o66xsDDqU5szmzJ-IGHBYQ==&uniplatform=NZKPT&language=CHS"
"安徽文学论文集","","","安徽省社会科学界联合会","","","","哲学与人文科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM0Ew5ZNdZBpiw78rl9Z-7kCsbmEuJTk4ju7QT2XF84iop1Fpvb-vcV2yjQ46A8FSOxBgEBzpT9E-IXG90WXgz9ai39pSofPWtWd6RGP21z7g==&uniplatform=NZKPT&language=CHS"
"安徽乡村振兴研究","","","","0.969","0.297","网络首发|增强出版","社会科学I|经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINqc38ykQ48STedN_mv-C5ew-AVgBWRdtLrFZBmhiO57S_Wj04hNjQfvWz1Ddu5CabHs5fNLmZj5r59HZuZXtY4zV3V30VJpvEGxJhnCUqdsw==&uniplatform=NZKPT&language=CHS"
"安徽消防","1003-756X","34-1101/TU","","","","","工程科技I|社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOr1Z5tQCk7i4m8dUiJdb3QejOVWydmXbxiRQ2uhRQzZ9LyaRlr_PsKfgF9_tJ5BAjTy6dhtlrVYtyACWpsDtul2G2p43gF7jN730cmaROmsA==&uniplatform=NZKPT&language=CHS"
"安徽冶金科技职业学院学报","","","","0.116","0.073","","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM8Yc8poabfhzWlEC27N8QN2P7D0NwUdVmbSr3Jg8CfS350nRUEOz0NdMR7XgHb_7UKZRUeYxRf8bz0Td99vpISf1a22tj3abC13zif8xmmzQ==&uniplatform=NZKPT&language=CHS"
"安徽医科大学学报","","","","1.200","0.950","网络首发|增强出版","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO-FVuyPAE6qyenyY_rBBs4IwyKozL5HR4dwi0DMp8RUe1fLaNNHCKTD1IHx494SuY2b__Nf0Z16LvDn3VwhtcUOVwHxGlVXKQACuO1rWxkPQ==&uniplatform=NZKPT&language=CHS"
"安徽医学","","","","1.058","0.836","网络首发|增强出版","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMTVp-6Xsho09ZOmJ4XeSBr7x1gt5hq_xcBVNrLQYhfN_b5xWrrLI0uzjj_TLngnFBFNQPFKg6JCP_5dzFdNhNXwg5XcTPIpvdseQxJySlMvQ==&uniplatform=NZKPT&language=CHS"
"安徽医药","","","","1.390","1.120","网络首发|增强出版","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINNV7oZ0N66On6QkDVQHHuCS3U-jsd6Px9T1HHRiM0QwfRvRpZ-Fxof_K65I9bIvGSWLjaLYyJt3SVnkc1uPXUY7RkNbkMbBuckaVkhB6UaKg==&uniplatform=NZKPT&language=CHS"
"安徽医专学报","","","","0.321","0.251","网络首发","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIND8IenK8NcATrseGFgRiFixw2wSxHLQ7R1pkvvZ-5pMPxJd3e2Q5Icr-_COl2rCXTz6BWndlCEkpA8jDImJvJ6TN4zfJjiMnVusyIcP86qnA==&uniplatform=NZKPT&language=CHS"
