title,issn,cn,sponsor,compound_if,comprehensive_if,tags,category,detail_url
"建筑科学","1002-8528","11-1962/TU","中国建筑科学研究院有限公司","1.619","1.103","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAFHqlKYVXgo24lsiBzMaza9L_Lj554iQvwyJa0MiUYoVg==&uniplatform=NZKPT&language=CHS"
"建筑钢结构进展","1671-9379","31-1893/TU","同济大学","1.516","0.882","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAGA7mwMVEUUsHWBy_JAUrO8sslj5fyZPfaV9ROKr3Lxcg==&uniplatform=NZKPT&language=CHS"
"地震工程与工程振动","1000-1301","23-1157/P","中国地震局工程力学研究所;中国力学学会","1.515","1.049","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAFUc5M_eiBB3hNSnCnONx-wKx_QwFd5XyLcSMkOi6Zpbw==&uniplatform=NZKPT&language=CHS"
"小城镇建设","1009-1483","11-4418/TU","中国城市发展规划设计咨询有限公司","1.511","0.825","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAFh40W_jNNHKXCWlL0LmNgRL0cLv5w3eyaWZul5RuDfDg==&uniplatform=NZKPT&language=CHS"
"混凝土","1002-3550","21-1259/TU","中国建筑业协会混凝土分会;中国建筑东北设计研究院有限公司","1.510","1.042","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAFUBxSndhBBD7Mem8lqxKYDDYmx4l7Kxzl8N6BHTT1mmw==&uniplatform=NZKPT&language=CHS"
"给水排水","1002-8471","11-4972/TU","亚太建设科技信息研究院有限公司;中国土木工程学会","1.494","1.108","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAFL9tVRjhUFFAcOaZEelYWyhpjWgBDUrI9wN2a0UKPbCg==&uniplatform=NZKPT&language=CHS"
"园林","1000-0283","31-1118/S","上海市园林科学规划研究院;中国风景园林学会","1.485","0.804","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAF6sddrWNRzgUc5AEd0-LQycNS6_F9HJMCXahGZ5Av0QQ==&uniplatform=NZKPT&language=CHS"
"工业建筑","1000-8993","11-2068/TU","中冶建筑研究总院有限公司","1.480","0.859","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPIQgNX73SF2KzjkPajM-kxjp2ISd34syccB3VpH5OI85EaWLhYU67WVl6Bz7s1BAHRrHdF5jhFhPTO8rLTaJYeRw0qI2sVCLfY2YE5_VFxGg==&uniplatform=NZKPT&language=CHS"
"土木建筑工程信息技术","1674-7461","11-5823/TU","中国图学学会","1.450","0.888","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDHqzBih5W_Aalz6DBEYZ3lC2adTINRxmHl_eYPKVF3xiH1tqOS1Ir_f-5dLO2p3LpoZsYzRaIaHQHvNnr9zlYfwmMxWlTED8FsbhA7wMWug==&uniplatform=NZKPT&language=CHS"
"城乡规划","2096-3025","31-2128/TU","上海文化出版社;复旦大学","1.421","0.770","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDHqzBih5W_Aalz6DBEYZ3lC2adTINRxmHl_eYPKVF3xiH1tqOS1Ir_f-5dLO2p3LymyzXFg4rDBl4SczcqfdPX4pmxzZrHgCczSqtCTkTsg==&uniplatform=NZKPT&language=CHS"
"净水技术","1009-0177","31-1513/TQ","上海市净水技术学会;上海城市水资源开发利用国家工程中心有限公司","1.414","0.946","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDHqzBih5W_Aalz6DBEYZ3lC2adTINRxmHl_eYPKVF3xiH1tqOS1Ir_f-5dLO2p3KG20ogi0DChga-5i29Cxyo2e7qryz9ivO0Qjl83GNf6A==&uniplatform=NZKPT&language=CHS"
"施工技术(中英文)","2097-0897","10-1768/TU","亚太建设科技信息研究院有限公司;中国建筑集团有限公司;中国土木工程学会","1.409","1.033","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDHqzBih5W_Aalz6DBEYZ3lC2adTINRxmHl_eYPKVF3xiH1tqOS1Ir_f-5dLO2p3J74LRkx5LL5uwLMHzRvpSsO8Kg0p8VQ345yJSGYhAR-Q==&uniplatform=NZKPT&language=CHS"
"城市观察","1674-7178","44-1664/C","广州市社会科学界联合会","1.383","0.797","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDHqzBih5W_Aalz6DBEYZ3lC2adTINRxmHl_eYPKVF3xiH1tqOS1Ir_f-5dLO2p3KIkLuO8o3Ur85V-KDGxuQ80-bO8hlUFI4Y-q_gUP8qyw==&uniplatform=NZKPT&language=CHS"
"新建筑","1000-3959","42-1155/TU","华中科技大学","1.332","1.023","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDHqzBih5W_Aalz6DBEYZ3lC2adTINRxmHl_eYPKVF3xiH1tqOS1Ir_f-5dLO2p3LCNtPRlC4tp095ZMs8nEN7jx_pt0Pq3HKSNkfjtvZ3Ag==&uniplatform=NZKPT&language=CHS"
"混凝土世界","1674-7011","11-5862/TU","北京建筑材料科学研究总院有限公司","1.328","1.128","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDHqzBih5W_Aalz6DBEYZ3lC2adTINRxmHl_eYPKVF3xiH1tqOS1Ir_f-5dLO2p3K_nlo09Quns2xk4oKajdDN2RG7ICgAd4sVpmABQPNrWw==&uniplatform=NZKPT&language=CHS"
"混凝土与水泥制品","1000-4637","32-1173/TU","苏州混凝土水泥制品研究院;中国混凝土与水泥制品协会","1.306","0.887","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDHqzBih5W_Aalz6DBEYZ3lC2adTINRxmHl_eYPKVF3xiH1tqOS1Ir_f-5dLO2p3I1lZKjGUU0kEjqAVXTE_O7zmJYPbuiO0-_q4eOjsLxDg==&uniplatform=NZKPT&language=CHS"
"消防科学与技术","1009-0029","12-1311/TU","应急管理部天津消防研究所","1.284","0.873","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDHqzBih5W_Aalz6DBEYZ3lC2adTINRxmHl_eYPKVF3xiH1tqOS1Ir_f-5dLO2p3IQgo2uvcb_tLISYVE2jhN-njW9ntBOb3JCCTiu9RsTVg==&uniplatform=NZKPT&language=CHS"
"工程造价管理","1008-2166","11-3151/TB","中国建设工程造价管理协会","1.262","1.110","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPDHqzBih5W_Aalz6DBEYZ3lC2adTINRxmHl_eYPKVF3xiH1tqOS1Ir_f-5dLO2p3I_QMZoBqTEF_xlRpKpwxGSeRl73ZlcPmA4D9MZsFnBVw==&uniplatform=NZKPT&language=CHS"
"建筑结构","1002-848X","11-2833/TU","亚太建设科技信息研究院有限公司;中国土木工程学会","1.256","0.904","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMZN1wKhlX-pVrDN3nVWfVuAIKyb10Fb5cb4cvBTEjYQQ3BsfYlyIRtcbJO9RkIWe7rlduUNr0ZsHf78dQLhsFuLf_NWL3AWLtSmVxDjVl7ZA==&uniplatform=NZKPT&language=CHS"
"世界地震工程","1007-6069","23-1195/P","中国地震局工程力学研究所;中国力学学会","1.250","0.755","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMZN1wKhlX-pVrDN3nVWfVuAIKyb10Fb5cb4cvBTEjYQQ3BsfYlyIRtcbJO9RkIWe64hESe3gF8aHSCt3g_1E5bDuA787OD0-5fE4TFs8D22Q==&uniplatform=NZKPT&language=CHS"
"新型建筑材料","1001-702X","33-1078/TU","中国新型建材设计研究院有限公司","1.176","0.904","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMZN1wKhlX-pVrDN3nVWfVuAIKyb10Fb5cb4cvBTEjYQQ3BsfYlyIRtcbJO9RkIWe6Coz3grWaZ7TYthXDswuSj036-P-oMOQhPAy9p3LRsog==&uniplatform=NZKPT&language=CHS"
"北京建筑大学学报","2096-9872","10-1250/TU","北京建筑大学","1.150","0.627","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCJjPvW--lZ60VKZMjHl8wX7i9BWREwW_vRCcdEFFoZxQQ==&uniplatform=NZKPT&language=CHS"
"土木工程与管理学报","2095-0985","42-1816/TU","华中科技大学","1.104","0.640","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCKz01CZSQ6qgh9RL1Qncqyuei6PtctDAihJGcp4eSnK4A==&uniplatform=NZKPT&language=CHS"
