title,issn,cn,sponsor,compound_if,comprehensive_if,tags,major_categories,detail_url
"太原师范学院学报(自然科学版)","1672-2027","14-1304/N","太原师范学院","0.527","0.275","","基础科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINw-PfXYIDjXuXTM38hpRh1HJpHGP67k3ZWqyCuOKVqwTxlm7DBoUEIzog_50aQONcf0fuOGTJFfYjQwUlmgZyP-6ABgl8qb3_yJconJUm3Yg==&uniplatform=NZKPT&language=CHS"
"太原市人民政府公报","1673-968X","14-1313/D","太原市人民政府办公室","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPxGWc-ToewxXy5R2kc9T5CVNNELeOB-vQLLZho6jU2gN1PBPFw32yQ3pMs1nIkR6LcmyzdgH7f8VxWMV91Mvwi90cgaW-huAuTfWtArz09OQ==&uniplatform=NZKPT&language=CHS"
"太原学院学报(社会科学版)","2096-1901","14-1385/G4","太原学院","0.718","0.155","网络首发|增强出版","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOV9HZ4sahRRfXp_aKUtebrAKZg18nJHDpsAt_1rX16qkdlcozvIJMIaLQG-yx5p6FYYkWRNENOGQR99ANtdKHBQTKu57ik5D5iwtpur5ZNLQ==&uniplatform=NZKPT&language=CHS"
"太原学院学报(自然科学版)","2096-191X","14-1386/G4","太原学院","0.786","0.473","网络首发","信息科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOjTcAvZxkuDKwBnYciIcbV8UEMR2Ivq4l2ZNNZOpFboDF68rSDQ41GKf0KtcJghFei6MeE9eXutm41fwMgUB0z1r_cvMfrdf82Yk2KRcCrog==&uniplatform=NZKPT&language=CHS"
"泰国研究论丛","","","成都大学","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPxGWc-ToewxXy5R2kc9T5CVNNELeOB-vQLLZho6jU2gN1PBPFw32yQ3pMs1nIkR6JgPurERMz4I1PuZTGOznbV4V2TciQ5Q8EkX6Np-PDAMA==&uniplatform=NZKPT&language=CHS"
"泰山乡镇企业职工大学学报","1008-8644","37-1332/G4","泰山乡镇企业职工大学","","","","社会科学II|经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPcMrnM1wF-c18jDWoTmsOTy7SCMj7HqITSX1bxWYyBwwXbtaD7f3IGs5Wbj0AMiTJtcC4OpxIwQMsOdunO3JjHVHYER-B2peC_0LipSHNjQw==&uniplatform=NZKPT&language=CHS"
"泰山学刊","2097-4175","37-1546/C","山东省习近平新时代中国特色社会主义思想研究中心","0.171","0.058","网络首发","工程科技II|哲学与人文科学|社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMnlvpPDtzmYiFhjVFDF6K8E-QjdLLQu5NP1T4do3aSL1GXa52dL-DNShtfT2esvGsm1Wl_udHSmWh-srZAGlpt0Zfs9jOwJvBaETJ_bUgjbw==&uniplatform=NZKPT&language=CHS"
"泰山学院学报","1672-2590","37-1406/Z","泰山学院","0.282","0.133","网络首发","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPY82b41RSdlN6I3Yu0P2qmDNP8NFTd-P4lu8AIDc_fIxVPqqTLrJbVWTuWFEXCQdAUuBZzlFan11Fep104I9QpmTtQGGJIEb_tzGC2ivfewQ==&uniplatform=NZKPT&language=CHS"
"坦克装甲车辆","1001-8778","11-1936/TJ","中国北方车辆研究所","","","","工程科技II|社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN6rwk4zB_5V2b8loHhg50GHS3utcdVVAUfSyCKLLecNdIzlcopaoMcOaa9TxZOOAUaLrVB7dxnNA5FmPeMo_QnfUEgHVDEtYVFmbm8NODNPQ==&uniplatform=NZKPT&language=CHS"
"探测与控制学报","1008-1194","61-1316/TJ","西安机电信息技术研究所","1.597","1.072","网络首发","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOQRor4ChetE4bjiZ-iYAueHCVKzN4fsU_X6NpOzfTR3jNOglLGAobbYsnirQ8C-I7pK4smqjEvxyDRVSvkE9kK0vk8hGRTyx4IiOM1EdZP8g==&uniplatform=NZKPT&language=CHS"
"探究铁路经济问题","","","北京交通大学基础产业研究中心文库","","","","社会科学II|经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPcMrnM1wF-c18jDWoTmsOTy7SCMj7HqITSX1bxWYyBwwXbtaD7f3IGs5Wbj0AMiTLze2qKCdMFuHybTbB9mlDuuIwYcEBx7GjQDMLY1_QSXw==&uniplatform=NZKPT&language=CHS"
"探求","1003-8744","44-1309/D","中共广州市委党校(广州行政学院)","0.897","0.327","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOoYenv6EYEiT4dYWKZVWRpA5vZOsN_a1ntgj7D8XULA0j1SWKu9PYiUXvCfSOHuhW1LDMo9UAv4OYmHcapS5oAlD5TewD5kCwdtN1N6MLEng==&uniplatform=NZKPT&language=CHS"
"探索","1007-5194","50-1019/D","中共重庆市委党校","7.730","4.843","网络首发","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPeydE8KfazAH4DB-YaKIv8mQkvZOgfRRjXzcKAAwuanoGwgQBgmBYOcY5_c_xTMJ4JtdoGnFzWCRdyUNePhsv2K6bytsZ5Oz0KOjk79gvYEA==&uniplatform=NZKPT&language=CHS"
"探索与批评","","","四川大学外国语学院","","","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHQjOjGkWZbz91dwxlIricZpTensci9l6hLfQDoH8prbEgdyjkzGAFGCEVwqf4-18n1Mk2VKRYokxbMXtMMQ9G-A32GN2Tu7GVMeRsz_VDNg==&uniplatform=NZKPT&language=CHS"
"探索与求是","1003-1766","13-1021/C","中国共产党河北省委员会","","","","社会科学I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPxGWc-ToewxXy5R2kc9T5CVNNELeOB-vQLLZho6jU2gN1PBPFw32yQ3pMs1nIkR6Lk1-vdu1omuwGOkNfUwUoyMhU4pA_MXV7IOK_Z28q8rA==&uniplatform=NZKPT&language=CHS"
"探索与争鸣","1004-2229","31-1208/C","上海市社会科学界联合会","3.934","2.835","网络首发","社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMgC2oDHIjm4bJthEdqKEfQ3LLjhAiHzxCbLMrD7U2nn46JlQq8-9cd7_2cppMbQ9gr0QeFP2Xhra2r-a4Cls7tpJq6iJwvK1Np4_mV_E3bSQ==&uniplatform=NZKPT&language=CHS"
"唐代文学研究","","","中国唐代文学学会;西北大学文学院","","","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHQjOjGkWZbz91dwxlIricZpTensci9l6hLfQDoH8prbEgdyjkzGAFGCEVwqf4-191h_zo-I9O_DilXSA--lcTJ91Z6eiDFxg2CDSopwbzTA==&uniplatform=NZKPT&language=CHS"
